ID,Edad,Salario,Ciudad
93,62.0,2838.0,Cuenca
94,18.0,1576.0,Quito
95,42.0,1214.0,Guayaquil
96,24.0,1447.0,Guayaquil
97,26.0,1369.0,Guayaquil
98,41.0,1570.0,Guayaquil
99,18.0,593.0,Loja
100,61.0,1059.0,Loja
101,25.0,2275.0,Quito
102,41.0,2760.0,Cuenca
103,28.0,935.0,Guayaquil
104,34.0,1351.0,Guayaquil
105,25.0,704.0,Loja
106,52.0,2928.0,Loja
107,52.0,1599.0,Guayaquil
108,50.0,576.0,Cuenca
109,22.0,1315.0,Quito
110,59.0,1267.0,Quito
111,56.0,2957.0,Quito
112,58.0,605.0,Quito
113,45.0,2635.0,Cuenca
114,24.0,2246.0,Cuenca
115,26.0,1965.0,Cuenca
116,25.0,744.0,Loja
117,29.0,1905.0,Guayaquil
118,51.0,1481.0,Cuenca
119,50.0,2236.0,Quito
120,40.0,641.0,Cuenca
121,41.0,1392.0,Guayaquil
122,54.0,1891.0,Loja
123,52.0,2899.0,Quito
124,61.0,1044.0,Loja
125,57.0,2699.0,Cuenca
126,39.0,1969.0,Quito
127,44.0,1262.0,Quito
128,52.0,1123.0,Cuenca
129,18.0,1155.0,Cuenca
130,52.0,2997.0,Guayaquil
131,54.0,1747.0,Cuenca
132,64.0,542.0,Cuenca
133,31.0,2811.0,Cuenca
134,20.0,1526.0,Quito
135,18.0,2160.0,Guayaquil
136,22.0,1791.0,Quito
137,43.0,1095.0,Cuenca
138,31.0,1512.0,Guayaquil
139,56.0,2724.0,Cuenca
140,44.0,2610.0,Quito
141,26.0,1457.0,Quito
142,32.0,1060.0,Cuenca
143,32.0,1830.0,Guayaquil
144,43.0,1812.0,Quito
145,59.0,2321.0,Cuenca
146,30.0,2050.0,Loja
147,49.0,1349.0,Cuenca
148,56.0,1778.0,Cuenca
149,49.0,2033.0,Guayaquil
150,21.0,2314.0,Cuenca
151,47.0,2241.0,Loja
152,54.0,1105.0,Cuenca
153,40.0,1986.0,Loja
154,56.0,1794.0,Quito
155,62.0,1245.0,Cuenca
156,32.0,1057.0,Guayaquil
157,60.0,2611.0,Cuenca
158,46.0,1441.0,Loja
159,53.0,2796.0,Loja
160,30.0,1769.0,Guayaquil
161,49.0,1439.0,Loja
162,24.0,2110.0,Cuenca
163,39.0,2704.0,Loja
164,45.0,2225.0,Cuenca
165,19.0,1484.0,Cuenca
166,59.0,2087.0,Loja
167,62.0,1836.0,Guayaquil
168,23.0,2374.0,Quito
169,45.0,1161.0,Guayaquil
170,45.0,532.0,Quito
171,61.0,2316.0,Guayaquil
172,61.0,2620.0,Cuenca
173,37.0,2389.0,Cuenca
174,47.0,1656.0,Loja
175,28.0,560.0,Quito
176,45.0,2043.0,Quito
177,42.0,771.0,Loja
178,56.0,2793.0,Guayaquil
179,50.0,1699.0,Loja
180,18.0,2306.0,Guayaquil
181,44.0,1654.0,Loja
182,30.0,1625.0,Quito
183,58.0,809.0,Quito
184,20.0,1815.0,Guayaquil
185,56.0,2245.0,Quito
186,23.0,837.0,Quito
187,25.0,509.0,Quito
188,44.0,548.0,Quito
189,26.0,2010.0,Cuenca
190,54.0,1844.0,Loja
191,50.0,1230.0,Loja
192,59.0,1294.0,Cuenca
193,61.0,2148.0,Quito
194,41.0,632.0,Loja
195,32.0,2630.0,Loja
196,49.0,2604.0,Loja
197,49.0,875.0,Guayaquil
198,41.0,2896.0,Cuenca
199,58.0,770.0,Guayaquil
200,29.0,2006.0,Guayaquil
201,56.0,2658.0,Cuenca
202,19.0,575.0,Loja
203,20.0,2456.0,Guayaquil
204,54.0,2166.0,Loja
205,34.0,828.0,Guayaquil
206,19.0,2669.0,Loja
207,19.0,540.0,Quito
208,45.0,1690.0,Quito
209,40.0,2826.0,Quito
210,54.0,2556.0,Cuenca
211,49.0,512.0,Quito
212,50.0,1423.0,Guayaquil
213,18.0,2342.0,Loja
214,36.0,1732.0,Loja
215,19.0,1714.0,Loja
216,61.0,1152.0,Loja
217,43.0,2203.0,Guayaquil
218,49.0,1120.0,Loja
219,23.0,2462.0,Guayaquil
220,49.0,2145.0,Guayaquil
221,21.0,2743.0,Loja
222,28.0,916.0,Loja
223,34.0,1163.0,Loja
224,55.0,2278.0,Guayaquil
225,41.0,1879.0,Cuenca
226,22.0,647.0,Guayaquil
227,51.0,2545.0,Cuenca
228,23.0,1888.0,Loja
229,39.0,2911.0,Guayaquil
230,28.0,2225.0,Loja
231,33.0,901.0,Cuenca
232,50.0,2015.0,Cuenca
233,26.0,2531.0,Guayaquil
234,23.0,728.0,Guayaquil
235,33.0,2098.0,Guayaquil
236,46.0,767.0,Guayaquil
237,20.0,1928.0,Quito
238,37.0,2316.0,Quito
239,53.0,1534.0,Loja
240,36.0,1843.0,Cuenca
241,43.0,625.0,Cuenca
242,20.0,2853.0,Loja
243,36.0,2225.0,Loja
244,37.0,1612.0,Loja
245,49.0,1875.0,Quito
246,24.0,1188.0,Loja
247,58.0,1780.0,Cuenca
248,50.0,1732.0,Loja
249,57.0,780.0,Guayaquil
250,56.0,942.0,Cuenca
251,35.0,2363.0,Cuenca
252,57.0,1336.0,Cuenca
253,18.0,888.0,Quito
254,28.0,1116.0,Quito
255,45.0,646.0,Cuenca
256,42.0,1020.0,Guayaquil
257,40.0,1129.0,Cuenca
258,48.0,2981.0,Quito
259,47.0,2691.0,Guayaquil
260,59.0,788.0,Cuenca
261,52.0,1909.0,Quito
262,24.0,513.0,Guayaquil
263,33.0,756.0,Loja
264,43.0,2221.0,Loja
265,19.0,1923.0,Cuenca
266,18.0,1730.0,Loja
267,29.0,1357.0,Quito
268,22.0,1695.0,Guayaquil
269,54.0,963.0,Cuenca
270,49.0,769.0,Guayaquil
271,26.0,1744.0,Guayaquil
272,58.0,1706.0,Guayaquil
273,52.0,571.0,Quito
274,36.0,1806.0,Cuenca
275,33.0,2621.0,Loja
276,20.0,2902.0,Guayaquil
277,37.0,2250.0,Guayaquil
278,41.0,996.0,Guayaquil
279,50.0,1487.0,Quito
280,41.0,1409.0,Loja
281,28.0,872.0,Guayaquil
282,25.0,861.0,Quito
283,53.0,2640.0,Quito
284,55.0,1844.0,Guayaquil
285,57.0,823.0,Guayaquil
286,37.0,2931.0,Quito
287,52.0,1074.0,Quito
288,42.0,1235.0,Guayaquil
289,52.0,2893.0,Quito
290,42.0,1715.0,Quito
291,46.0,2195.0,Guayaquil
292,35.0,2407.0,Guayaquil
293,63.0,1218.0,Cuenca
294,35.0,1280.0,Loja
295,19.0,1519.0,Guayaquil
296,52.0,1903.0,Guayaquil
297,33.0,1926.0,Guayaquil
298,58.0,1163.0,Loja
299,53.0,2272.0,Cuenca
300,50.0,510.0,Quito
301,21.0,2734.0,Loja
302,50.0,1538.0,Guayaquil
303,31.0,2958.0,Guayaquil
304,38.0,1084.0,Cuenca
305,37.0,1575.0,Cuenca
306,25.0,1874.0,Cuenca
307,24.0,1951.0,Quito
308,20.0,2354.0,Loja
309,34.0,2289.0,Loja
310,50.0,1242.0,Cuenca
311,29.0,2276.0,Quito
312,39.0,703.0,Loja
313,39.0,1576.0,Guayaquil
314,63.0,1473.0,Guayaquil
315,47.0,1898.0,Guayaquil
316,55.0,2365.0,Loja
317,55.0,1799.0,Cuenca
318,62.0,1554.0,Guayaquil
319,25.0,1658.0,Cuenca
320,44.0,604.0,Quito
321,44.0,752.0,Guayaquil
322,51.0,794.0,Quito
323,38.0,1681.0,Cuenca
324,47.0,1048.0,Loja
325,50.0,2277.0,Cuenca
326,45.0,798.0,Guayaquil
327,64.0,2248.0,Guayaquil
328,50.0,2343.0,Cuenca
329,22.0,600.0,Guayaquil
330,36.0,2879.0,Guayaquil
331,21.0,2274.0,Quito
332,52.0,2940.0,Loja
333,34.0,1373.0,Cuenca
334,61.0,2928.0,Quito
335,45.0,591.0,Guayaquil
336,47.0,946.0,Quito
337,46.0,608.0,Loja
338,63.0,816.0,Cuenca
339,23.0,2335.0,Loja
340,52.0,2443.0,Loja
341,58.0,1958.0,Quito
342,54.0,941.0,Quito
343,41.0,2765.0,Loja
344,46.0,1745.0,Guayaquil
345,63.0,2051.0,Cuenca
346,48.0,777.0,Guayaquil
347,52.0,1068.0,Guayaquil
348,50.0,1509.0,Cuenca
349,38.0,1338.0,Quito
350,49.0,2107.0,Guayaquil
351,40.0,529.0,Quito
352,50.0,2906.0,Cuenca
353,20.0,2442.0,Guayaquil
354,35.0,2633.0,Quito
355,42.0,1757.0,Quito
356,59.0,2860.0,Guayaquil
357,48.0,864.0,Cuenca
358,20.0,2300.0,Loja
359,57.0,2322.0,Quito
360,63.0,2362.0,Cuenca
361,41.0,1404.0,Guayaquil
362,49.0,1197.0,Quito
363,64.0,2678.0,Quito
364,39.0,2355.0,Quito
365,40.0,850.0,Cuenca
366,19.0,679.0,Quito
367,44.0,2003.0,Quito
368,59.0,1686.0,Guayaquil
369,19.0,2306.0,Quito
370,43.0,1273.0,Cuenca
371,34.0,1009.0,Guayaquil
372,57.0,864.0,Loja
373,50.0,852.0,Guayaquil
374,26.0,1606.0,Quito
375,60.0,1748.0,Loja
376,56.0,911.0,Guayaquil
377,46.0,1234.0,Quito
378,59.0,617.0,Guayaquil
379,43.0,981.0,Cuenca
380,52.0,691.0,Quito
381,42.0,606.0,Cuenca
382,41.0,881.0,Quito
383,30.0,1282.0,Cuenca
384,24.0,2937.0,Loja
385,53.0,743.0,Cuenca
386,62.0,967.0,Guayaquil
387,37.0,1365.0,Quito
388,18.0,2061.0,Guayaquil
389,25.0,1733.0,Cuenca
390,63.0,1103.0,Quito
391,33.0,2160.0,Cuenca
392,31.0,1596.0,Loja
393,29.0,2515.0,Loja
394,40.0,2158.0,Loja
395,32.0,2233.0,Cuenca
396,45.0,2113.0,Cuenca
397,51.0,1359.0,Loja
398,19.0,2379.0,Cuenca
399,49.0,1776.0,Guayaquil
400,40.0,512.0,Cuenca
401,39.0,2846.0,Guayaquil
402,42.0,1599.0,Loja
403,39.0,1574.0,Cuenca
404,39.0,1286.0,Loja
405,59.0,648.0,Quito
406,23.0,2254.0,Cuenca
407,32.0,2669.0,Cuenca
408,60.0,1803.0,Loja
409,54.0,1679.0,Loja
410,50.0,2923.0,Loja
411,25.0,581.0,Quito
412,61.0,991.0,Quito
413,61.0,2903.0,Loja
414,22.0,2525.0,Cuenca
415,56.0,1424.0,Cuenca
416,21.0,1796.0,Loja
417,23.0,2103.0,Guayaquil
418,62.0,2096.0,Quito
419,49.0,622.0,Quito
420,47.0,1207.0,Guayaquil
421,64.0,2877.0,Loja
422,52.0,1490.0,Cuenca
423,57.0,2870.0,Cuenca
424,33.0,2540.0,Quito
425,30.0,2980.0,Guayaquil
426,59.0,1209.0,Cuenca
427,47.0,1293.0,Quito
428,36.0,1211.0,Cuenca
429,34.0,2217.0,Cuenca
430,36.0,756.0,Cuenca
431,45.0,1712.0,Quito
432,43.0,1370.0,Guayaquil
433,54.0,2231.0,Loja
434,43.0,1308.0,Guayaquil
435,40.0,770.0,Cuenca
436,26.0,2043.0,Guayaquil
437,29.0,1049.0,Cuenca
438,18.0,1637.0,Quito
439,18.0,1067.0,Quito
440,64.0,858.0,Quito
441,51.0,2173.0,Cuenca
442,49.0,2137.0,Guayaquil
443,42.0,1857.0,Loja
444,57.0,2212.0,Loja
445,62.0,1862.0,Quito
446,18.0,1297.0,Loja
447,33.0,1784.0,Cuenca
448,56.0,1386.0,Guayaquil
449,22.0,2258.0,Loja
450,39.0,1722.0,Loja
451,46.0,2758.0,Guayaquil
452,20.0,786.0,Loja
453,29.0,2215.0,Guayaquil
454,43.0,2285.0,Cuenca
455,33.0,1242.0,Cuenca
456,54.0,2005.0,Cuenca
457,39.0,2540.0,Quito
458,46.0,1546.0,Cuenca
459,31.0,795.0,Loja
460,45.0,2553.0,Quito
461,22.0,1180.0,Quito
462,64.0,2391.0,Quito
463,47.0,1294.0,Cuenca
464,63.0,702.0,Quito
465,22.0,824.0,Cuenca
466,29.0,2791.0,Cuenca
467,33.0,826.0,Quito
468,43.0,1486.0,Quito
469,43.0,1260.0,Loja
470,38.0,1536.0,Quito
471,56.0,1406.0,Cuenca
472,53.0,1903.0,Loja
473,50.0,864.0,Loja
474,47.0,1744.0,Cuenca
475,54.0,2620.0,Quito
476,40.0,2148.0,Quito
477,27.0,1569.0,Guayaquil
478,22.0,773.0,Quito
479,53.0,2755.0,Guayaquil
480,51.0,2452.0,Loja
481,48.0,2384.0,Loja
482,27.0,623.0,Loja
483,36.0,1852.0,Guayaquil
484,49.0,2191.0,Cuenca
485,18.0,2607.0,Cuenca
486,22.0,941.0,Loja
487,62.0,1740.0,Guayaquil
488,21.0,1410.0,Guayaquil
489,33.0,1525.0,Loja
490,41.0,2059.0,Quito
491,33.0,2241.0,Loja
492,19.0,2234.0,Guayaquil
493,45.0,1125.0,Quito
494,49.0,2190.0,Cuenca
495,44.0,1497.0,Quito
496,37.0,590.0,Cuenca
497,41.0,2714.0,Guayaquil
498,29.0,706.0,Loja
499,52.0,1588.0,Loja
500,50.0,2411.0,Loja
501,50.0,1015.0,Loja
502,60.0,1680.0,Loja
503,54.0,2292.0,Guayaquil
504,29.0,2853.0,Guayaquil
505,20.0,2401.0,Loja
506,18.0,2505.0,Quito
507,50.0,894.0,Loja
508,57.0,1597.0,Cuenca
509,27.0,686.0,Cuenca
510,60.0,2097.0,Cuenca
511,61.0,2091.0,Cuenca
512,46.0,1229.0,Loja
513,30.0,739.0,Cuenca
514,29.0,640.0,Quito
515,48.0,638.0,Loja
516,63.0,569.0,Cuenca
517,19.0,884.0,Loja
518,52.0,1129.0,Loja
519,40.0,2745.0,Loja
520,34.0,704.0,Guayaquil
521,43.0,2249.0,Cuenca
522,25.0,1067.0,Guayaquil
523,46.0,1481.0,Quito
524,43.0,1304.0,Quito
525,27.0,2210.0,Guayaquil
526,43.0,1381.0,Cuenca
527,51.0,2535.0,Loja
528,58.0,1473.0,Quito
529,24.0,1139.0,Quito
530,21.0,1954.0,Quito
531,62.0,824.0,Cuenca
532,28.0,941.0,Guayaquil
533,46.0,1303.0,Guayaquil
534,53.0,2835.0,Cuenca
535,42.0,725.0,Quito
536,38.0,1587.0,Cuenca
537,53.0,1466.0,Cuenca
538,27.0,1059.0,Guayaquil
539,54.0,1213.0,Cuenca
540,26.0,997.0,Cuenca
541,41.0,2607.0,Quito
542,52.0,756.0,Loja
543,52.0,1076.0,Quito
544,53.0,2786.0,Guayaquil
545,35.0,537.0,Loja
546,56.0,2572.0,Quito
547,49.0,909.0,Cuenca
548,41.0,960.0,Cuenca
549,40.0,1940.0,Loja
550,49.0,2904.0,Loja
551,54.0,882.0,Cuenca
552,29.0,2332.0,Guayaquil
553,30.0,1068.0,Quito
554,40.0,1571.0,Cuenca
555,42.0,932.0,Quito
556,52.0,555.0,Quito
557,58.0,2815.0,Quito
558,47.0,2616.0,Quito
559,34.0,2251.0,Guayaquil
560,37.0,2547.0,Guayaquil
561,42.0,1401.0,Guayaquil
562,39.0,2124.0,Cuenca
563,30.0,756.0,Cuenca
564,36.0,1171.0,Cuenca
565,53.0,989.0,Guayaquil
566,29.0,2596.0,Quito
567,58.0,2182.0,Guayaquil
568,36.0,815.0,Cuenca
569,29.0,2960.0,Loja
570,26.0,933.0,Cuenca
571,24.0,1525.0,Quito
572,45.0,2475.0,Guayaquil
573,31.0,2479.0,Loja
574,48.0,1889.0,Loja
575,36.0,919.0,Quito
576,64.0,2096.0,Guayaquil
577,33.0,2084.0,Loja
578,22.0,1343.0,Cuenca
579,52.0,1967.0,Quito
580,29.0,933.0,Loja
581,42.0,2078.0,Quito
582,38.0,2604.0,Guayaquil
583,53.0,1463.0,Guayaquil
584,40.0,1476.0,Guayaquil
585,33.0,545.0,Cuenca
586,56.0,1693.0,Loja
587,62.0,916.0,Guayaquil
588,59.0,1347.0,Cuenca
589,56.0,2686.0,Guayaquil
590,31.0,746.0,Guayaquil
591,48.0,729.0,Loja
592,22.0,1291.0,Cuenca
593,52.0,1136.0,Guayaquil
594,40.0,2921.0,Cuenca
595,46.0,1237.0,Cuenca
596,60.0,1588.0,Guayaquil
597,28.0,587.0,Guayaquil
598,35.0,1212.0,Quito
599,64.0,2249.0,Loja
600,29.0,1727.0,Guayaquil
601,26.0,2436.0,Quito
602,27.0,1905.0,Loja
603,61.0,1100.0,Guayaquil
604,34.0,1999.0,Cuenca
605,55.0,713.0,Loja
606,24.0,2621.0,Cuenca
607,63.0,2608.0,Quito
608,30.0,1197.0,Guayaquil
609,57.0,1742.0,Quito
610,59.0,2559.0,Guayaquil
611,26.0,2579.0,Guayaquil
612,44.0,1683.0,Cuenca
613,19.0,1500.0,Quito
614,22.0,736.0,Cuenca
615,46.0,1704.0,Cuenca
616,54.0,1981.0,Cuenca
617,55.0,1603.0,Quito
618,36.0,1146.0,Guayaquil
619,25.0,972.0,Guayaquil
620,62.0,611.0,Quito
621,18.0,2345.0,Guayaquil
622,39.0,2154.0,Quito
623,34.0,882.0,Quito
624,24.0,516.0,Guayaquil
625,42.0,992.0,Loja
626,62.0,2396.0,Cuenca
627,21.0,2009.0,Quito
628,53.0,616.0,Quito
629,23.0,2078.0,Loja
630,48.0,1379.0,Quito
631,36.0,2662.0,Quito
632,61.0,2318.0,Guayaquil
633,56.0,2072.0,Guayaquil
634,44.0,2148.0,Loja
635,27.0,1143.0,Quito
636,43.0,1859.0,Cuenca
637,36.0,835.0,Guayaquil
638,56.0,646.0,Cuenca
639,20.0,621.0,Cuenca
640,62.0,580.0,Loja
641,30.0,2922.0,Loja
642,45.0,2610.0,Quito
643,37.0,1003.0,Loja
644,45.0,1167.0,Guayaquil
645,25.0,2996.0,Quito
646,58.0,1944.0,Quito
647,56.0,1845.0,Cuenca
648,18.0,1689.0,Cuenca
649,20.0,2120.0,Cuenca
650,30.0,2480.0,Quito
651,45.0,2172.0,Loja
652,42.0,958.0,Loja
653,50.0,1712.0,Loja
654,55.0,963.0,Quito
655,23.0,1411.0,Quito
656,61.0,2926.0,Quito
657,62.0,1525.0,Quito
658,49.0,2911.0,Quito
659,62.0,571.0,Loja
660,64.0,1950.0,Quito
661,38.0,1693.0,Loja
662,33.0,2348.0,Quito
663,38.0,2884.0,Loja
664,28.0,2522.0,Guayaquil
665,54.0,2742.0,Guayaquil
666,53.0,1511.0,Loja
667,52.0,1152.0,Guayaquil
668,36.0,1798.0,Guayaquil
669,37.0,506.0,Loja
670,35.0,1404.0,Quito
671,64.0,2528.0,Quito
672,58.0,1115.0,Loja
673,31.0,2373.0,Cuenca
674,32.0,1269.0,Cuenca
675,48.0,2789.0,Guayaquil
676,18.0,2066.0,Cuenca
677,20.0,1985.0,Guayaquil
678,33.0,1940.0,Quito
679,40.0,1265.0,Loja
680,28.0,883.0,Quito
681,29.0,2938.0,Loja
682,27.0,1187.0,Cuenca
683,49.0,1649.0,Quito
684,33.0,546.0,Quito
685,25.0,2472.0,Guayaquil
686,55.0,963.0,Loja
687,29.0,2372.0,Cuenca
688,41.0,622.0,Quito
689,45.0,2681.0,Loja
690,25.0,2142.0,Cuenca
691,45.0,1340.0,Quito
692,53.0,2085.0,Loja
693,43.0,2303.0,Guayaquil
694,25.0,522.0,Quito
695,45.0,1065.0,Loja
696,45.0,2409.0,Cuenca
697,54.0,1464.0,Cuenca
698,58.0,2782.0,Guayaquil
699,53.0,1495.0,Quito
700,44.0,1687.0,Guayaquil
701,34.0,2294.0,Loja
702,26.0,1325.0,Cuenca
703,50.0,715.0,Guayaquil
704,37.0,1156.0,Quito
705,30.0,1613.0,Loja
706,45.0,2487.0,Quito
707,46.0,810.0,Guayaquil
708,30.0,1056.0,Cuenca
709,63.0,2804.0,Cuenca
710,52.0,2056.0,Guayaquil
711,23.0,551.0,Quito
712,35.0,1861.0,Quito
713,22.0,1694.0,Quito
714,64.0,2148.0,Quito
715,42.0,2847.0,Cuenca
716,19.0,1171.0,Quito
717,27.0,1277.0,Guayaquil
718,47.0,1331.0,Guayaquil
719,62.0,2779.0,Guayaquil
720,22.0,2360.0,Guayaquil
721,50.0,2029.0,Quito
722,18.0,2575.0,Cuenca
723,35.0,2472.0,Loja
724,49.0,1574.0,Quito
725,64.0,2216.0,Loja
726,28.0,1783.0,Cuenca
727,38.0,1090.0,Quito
728,43.0,2486.0,Loja
729,42.0,1501.0,Cuenca
730,39.0,2731.0,Loja
731,44.0,1546.0,Guayaquil
732,30.0,2676.0,Guayaquil
733,50.0,2838.0,Cuenca
734,51.0,2355.0,Cuenca
735,58.0,1000.0,Loja
736,52.0,2733.0,Cuenca
737,18.0,978.0,Guayaquil
738,38.0,2094.0,Guayaquil
739,23.0,1012.0,Quito
740,45.0,2832.0,Loja
741,34.0,1100.0,Cuenca
742,22.0,1940.0,Cuenca
743,48.0,1623.0,Cuenca
744,22.0,688.0,Loja
745,55.0,1488.0,Guayaquil
746,20.0,2381.0,Cuenca
747,40.0,887.0,Cuenca
748,54.0,2788.0,Guayaquil
749,54.0,2305.0,Cuenca
750,27.0,2533.0,Quito
751,27.0,2254.0,Guayaquil
752,36.0,2964.0,Guayaquil
753,34.0,2723.0,Guayaquil
754,38.0,886.0,Quito
755,31.0,1994.0,Guayaquil
756,26.0,1352.0,Loja
757,63.0,951.0,Loja
758,18.0,2824.0,Loja
759,62.0,2258.0,Guayaquil
760,30.0,712.0,Guayaquil
761,21.0,540.0,Guayaquil
762,18.0,1645.0,Quito
763,57.0,2841.0,Loja
764,49.0,1099.0,Cuenca
765,51.0,2524.0,Cuenca
766,45.0,2530.0,Guayaquil
767,48.0,2282.0,Quito
768,25.0,2351.0,Guayaquil
769,56.0,2998.0,Cuenca
770,43.0,2279.0,Loja
771,51.0,2881.0,Cuenca
772,20.0,2404.0,Loja
773,29.0,2591.0,Loja
774,18.0,643.0,Quito
775,61.0,832.0,Cuenca
776,22.0,1497.0,Guayaquil
777,47.0,1919.0,Quito
778,47.0,554.0,Loja
779,34.0,1830.0,Cuenca
780,64.0,1946.0,Guayaquil
781,40.0,1940.0,Quito
782,32.0,2872.0,Guayaquil
783,54.0,2233.0,Cuenca
784,38.0,2194.0,Guayaquil
785,31.0,579.0,Quito
786,19.0,1484.0,Guayaquil
787,28.0,1364.0,Cuenca
788,56.0,2087.0,Quito
789,55.0,971.0,Loja
790,51.0,2621.0,Quito
791,55.0,2076.0,Cuenca
792,51.0,2002.0,Guayaquil
793,35.0,1088.0,Loja
794,47.0,1910.0,Loja
795,32.0,2405.0,Guayaquil
796,44.0,1063.0,Cuenca
797,51.0,966.0,Quito
798,55.0,1098.0,Cuenca
799,50.0,2144.0,Loja
800,41.0,1491.0,Quito
801,32.0,2432.0,Quito
802,47.0,2795.0,Guayaquil
803,59.0,2104.0,Cuenca
804,34.0,566.0,Quito
805,22.0,969.0,Guayaquil
806,46.0,2224.0,Cuenca
807,21.0,2833.0,Loja
808,27.0,2131.0,Loja
809,34.0,2859.0,Cuenca
810,27.0,2856.0,Quito
811,34.0,1274.0,Quito
812,37.0,1636.0,Loja
813,41.0,2511.0,Loja
814,22.0,1986.0,Quito
815,51.0,631.0,Cuenca
816,23.0,1429.0,Loja
817,19.0,1428.0,Quito
818,30.0,2668.0,Cuenca
819,60.0,1720.0,Guayaquil
820,60.0,2005.0,Cuenca
821,28.0,1133.0,Quito
822,64.0,1562.0,Cuenca
823,40.0,1684.0,Quito
824,33.0,788.0,Loja
825,48.0,2747.0,Guayaquil
826,28.0,2311.0,Loja
827,33.0,1027.0,Loja
828,25.0,1416.0,Quito
829,21.0,2208.0,Quito
830,57.0,1906.0,Quito
831,21.0,1741.0,Quito
832,42.0,1610.0,Loja
833,20.0,1298.0,Quito
834,49.0,2023.0,Quito
835,20.0,511.0,Loja
836,44.0,1332.0,Guayaquil
837,46.0,1741.0,Guayaquil
838,49.0,2172.0,Cuenca
839,36.0,2653.0,Loja
840,38.0,1190.0,Quito
841,22.0,1027.0,Cuenca
842,35.0,1995.0,Guayaquil
843,45.0,1392.0,Guayaquil
844,59.0,886.0,Loja
845,39.0,1749.0,Quito
846,38.0,2277.0,Quito
847,23.0,907.0,Cuenca
848,18.0,2176.0,Guayaquil
849,22.0,1397.0,Cuenca
850,58.0,1210.0,Cuenca
851,29.0,2182.0,Cuenca
852,43.0,1417.0,Quito
853,63.0,2750.0,Guayaquil
854,51.0,916.0,Cuenca
855,31.0,915.0,Guayaquil
856,43.0,1971.0,Guayaquil
857,62.0,2035.0,Cuenca
858,44.0,584.0,Cuenca
859,26.0,666.0,Loja
860,43.0,2931.0,Quito
861,64.0,1595.0,Guayaquil
862,39.0,1309.0,Cuenca
863,64.0,2044.0,Cuenca
864,47.0,2316.0,Guayaquil
865,60.0,1492.0,Cuenca
866,34.0,1781.0,Loja
867,43.0,774.0,Guayaquil
868,53.0,2273.0,Cuenca
869,18.0,2256.0,Guayaquil
